x,y
10,10
10,30
10,50
10,70
10,90
10,110
10,130
10,150
10,170
10,190
10,210
10,230
10,250
10,270
10,290
10,310
10,330
10,350
10,370
10,390
25,10
25,30
25,50
25,70
25,90
25,110
25,130
25,150
25,170
25,190
25,210
25,230
25,250
25,270
25,290
25,310
25,330
25,350
25,370
25,390
40,10
40,30
40,50
40,70
40,90
40,110
40,130
40,150
40,170
40,190
40,210
40,230
40,250
40,270
40,290
40,310
40,330
40,350
40,370
40,390
55,10
55,30
55,50
55,70
55,90
55,110
55,130
55,150
55,170
55,190
55,210
55,230
55,250
55,270
55,290
55,310
55,330
55,350
55,370
55,390
70,10
70,30
70,50
70,70
70,90
70,110
70,130
70,150
70,170
70,190
70,210
70,230
70,250
70,270
70,290
70,310
70,330
70,350
70,370
70,390
85,10
85,30
85,50
85,70
85,90
85,110
85,130
85,150
85,170
85,190
85,210
85,230
85,250
85,270
85,290
85,310
85,330
85,350
85,370
85,390
100,10
100,30
100,50
100,70
100,90
100,110
100,130
100,150
100,170
100,190
100,210
100,230
100,250
100,270
100,290
100,310
100,330
100,350
100,370
100,390
115,10
115,30
115,50
115,70
115,90
115,110
115,130
115,150
115,170
115,190
115,210
115,230
115,250
115,270
115,290
115,310
115,330
115,350
115,370
115,390
130,10
130,30
130,50
130,70
130,90
130,110
130,130
130,150
130,170
130,190
130,210
130,230
130,250
130,270
130,290
130,310
130,330
130,350
130,370
130,390
145,10
145,30
145,50
145,70
145,90
145,110
145,130
145,150
145,170
145,190
145,210
145,230
145,250
145,270
145,290
145,310
145,330
145,350
145,370
145,390
160,10
160,30
160,50
160,70
160,90
160,110
160,130
160,150
160,170
160,190
160,210
160,230
160,250
160,270
160,290
160,310
160,330
160,350
160,370
160,390
175,10
175,30
175,50
175,70
175,90
175,110
175,130
175,150
175,170
175,190
175,210
175,230
175,250
175,270
175,290
175,310
175,330
175,350
175,370
175,390
190,10
190,30
190,50
190,70
190,90
190,110
190,130
190,150
190,170
190,190
190,210
190,230
190,250
190,270
190,290
190,310
190,330
190,350
190,370
190,390
205,10
205,30
205,50
205,70
205,90
205,110
205,130
205,150
205,170
205,190
205,210
205,230
205,250
205,270
205,290
205,310
205,330
205,350
205,370
205,390
220,10
220,30
220,50
220,70
220,90
220,110
220,130
220,150
220,170
220,190
220,210
220,230
220,250
220,270
220,290
220,310
220,330
220,350
220,370
220,390
235,10
235,30
235,50
235,70
235,90
235,110
235,130
235,150
235,170
235,190
235,210
235,230
235,250
235,270
235,290
235,310
235,330
235,350
235,370
235,390
250,10
250,30
250,50
250,70
250,90
250,110
250,130
250,150
250,170
250,190
250,210
250,230
250,250
250,270
250,290
250,310
250,330
250,350
250,370
250,390
265,10
265,30
265,50
265,70
265,90
265,110
265,130
265,150
265,170
265,190
265,210
265,230
265,250
265,270
265,290
265,310
265,330
265,350
265,370
265,390
280,10
280,30
280,50
280,70
280,90
280,110
280,130
280,150
280,170
280,190
280,210
280,230
280,250
280,270
280,290
280,310
280,330
280,350
280,370
280,390
295,10
295,30
295,50
295,70
295,90
295,110
295,130
295,150
295,170
295,190
295,210
295,230
295,250
295,270
295,290
295,310
295,330
295,350
295,370
295,390
310,10
310,30
310,50
310,70
310,90
310,110
310,130
310,150
310,170
310,190
310,210
310,230
310,250
310,270
310,290
310,310
310,330
310,350
310,370
310,390
325,10
325,30
325,50
325,70
325,90
325,110
325,130
325,150
325,170
325,190
325,210
325,230
325,250
325,270
325,290
325,310
325,330
325,350
325,370
325,390
340,10
340,30
340,50
340,70
340,90
340,110
340,130
340,150
340,170
340,190
340,210
340,230
340,250
340,270
340,290
340,310
340,330
340,350
340,370
340,390
355,10
355,30
355,50
355,70
355,90
355,110
355,130
355,150
355,170
355,190
355,210
355,230
355,250
355,270
355,290
355,310
355,330
355,350
355,370
355,390
370,10
370,30
370,50
370,70
370,90
370,110
370,130
370,150
370,170
370,190
370,210
370,230
370,250
370,270
370,290
370,310
370,330
370,350
370,370
370,390
385,10
385,30
385,50
385,70
385,90
385,110
385,130
385,150
385,170
385,190
385,210
385,230
385,250
385,270
385,290
385,310
385,330
385,350
385,370
385,390
400,10
400,30
400,50
400,70
400,90
400,110
400,130
400,150
400,170
400,190
400,210
400,230
400,250
400,270
400,290
400,310
400,330
400,350
400,370
400,390
415,10
415,30
415,50
415,70
415,90
415,110
415,130
415,150
415,170
415,190
415,210
415,230
415,250
415,270
415,290
415,310
415,330
415,350
415,370
415,390
430,10
430,30
430,50
430,70
430,90
430,110
430,130
430,150
430,170
430,190
430,210
430,230
430,250
430,270
430,290
430,310
430,330
430,350
430,370
430,390
445,10
445,30
445,50
445,70
445,90
445,110
445,130
445,150
445,170
445,190
445,210
445,230
445,250
445,270
445,290
445,310
445,330
445,350
445,370
445,390
460,10
460,30
460,50
460,70
460,90
460,110
460,130
460,150
460,170
460,190
460,210
460,230
460,250
460,270
460,290
460,310
460,330
460,350
460,370
460,390
475,10
475,30
475,50
475,70
475,90
475,110
475,130
475,150
475,170
475,190
475,210
475,230
475,250
475,270
475,290
475,310
475,330
475,350
